name,website,street,phone,email,appfee,web,listing,typed,neighborhoods
Halcyon Management,https://www.nybits.com/managers/halcyon_mgm.html,,718-599-4101,,,,Managed: 13 no-fee ,Management Company,
Harlingon Realty,https://www.nybits.com/managers/harlington_llc.html,"156A East 83rd Street New York, NY 10028",646-879-0650212-734-9500,,,www.harlingtonllc.com,Managed: 16 no-fee ,Management Company,
IBEC Living,https://www.nybits.com/managers/ibec_living.html,"55 Broad Street, 16th Floor New York, NY 10004",212-747-0214212-747-0215 (fax),rentals@ibecliving.com,$65,www.ibecliving.com,Managed: 2 no-fee ,Management Company,
Icon Realty,https://www.nybits.com/managers/icon_realty.html,"419 Lafayette Street, 5th fl. New York, NY 10003",212-675-7100,rentals@icongroupnyc.com,$100,www.iconrealtymgmt.com,Managed: 50 no-fee ,Management Company,
"Jack Resnick & Sons, Inc",https://www.nybits.com/managers/resnick.html,"110 East 59th street New York, NY 10022",212-421-1300,,,www.resnicknyc.com,Managed: 3 no-fee ,Management Company,
Jakobson Properties,https://www.nybits.com/managers/jakobson_properties.html,"11 Waverly Place New York, NY 10003",212-533-1300,contactus@jakobson.com,$200,www.nofeerentals.com,Managed: 83 no-fee ,Management Company,
JR Properties,https://www.nybits.com/managers/jrproperties.html,"176 West Houston Street New York, NY 10014",212-463-9970212-463-9988 (fax),info@jrproperties.biz,$60,www.jrproperties.biz,Managed: 1 no-fee ,Management Company,
"K&R Realty Management, Inc",https://www.nybits.com/managers/kandr.html,"316 West 118th Street New York, NY 10023",212-360-5092,rent@gonofee.com,$50,www.gonofee.com,Managed: 14 no-fee ,Management Company,
Kings & Queens,https://www.nybits.com/managers/kings_queens.html,,888-820-9140 (Brooklyn Office)888-839-7720 (Queens Office),,,www.kingsqueensapts.com,Managed: 53 no-fee ,Management Company,
Kushner,https://www.nybits.com/managers/kushner.html,"666 Fifth Avenue New York, NY 10103",212.527.7000,,,www.kushner.com,Managed: 6 no-fee ,Management Company,
Landmark Resources LLC,https://www.nybits.com/managers/landmark_resources.html,"235 East 50th Street New York, NY 10022",212-644-4455,,$100,www.landmarkresourcesnyc.com,Managed: 38 no-fee  and 6 feeBrokered: 6 no-fee  and 1 fee,Management Company,
LC Lemle Real Estate,https://www.nybits.com/managers/lc_lemle_re.html,"204 East 83rd Street New York, NY 10028",212-257-4822,rentals@lclemle.com,,www.lclemle.com,Managed: 8 no-fee ,Management Company,
Lisa Management,https://www.nybits.com/managers/lisa_management.html,"225 E. 6th Street, Suite B New York, NY 10003",212-353-8223 x104,,,www.lisamgmt.com,Managed: 35 no-fee Brokered: 2 fee,Management Company,
M & R Management,https://www.nybits.com/managers/mandr_management.html,"1501 Avenue V Brooklyn, NY 11229",718-998-7200,,,www.mrmgt.com,Managed: 6 no-fee ,Management Company,
Manhattan Skyline,https://www.nybits.com/managers/manhattan_skyline.html,,212-977-4813212-408-9447,,,www.manhattanskyline.com,Managed: 21 no-fee ,Management Company,
Marquis Apartments,https://www.nybits.com/managers/marquis.html,,212-708-6500,info@marquisapts.com,,www.marquisapts.com/,Managed: 5 no-fee ,Management Company,
MBC Group,https://www.nybits.com/managers/mbc_group.html,,718.522.4245,,,,Managed: 1 no-fee ,Management Company,
MDays Realty LLC,https://www.nybits.com/managers/mdays_realty.html,"1475 President Street Brooklyn, NY 11213",347-627-9812,,,,Managed: 16 no-fee ,Management Company,
Medrash,https://www.nybits.com/managers/medrash_realty.html,,(718) 755-5160,,,,Managed: 2 no-fee ,Management Company,
"Metro Loft Management, LLC",https://www.nybits.com/managers/metroloft.html,"67 Wall Street New York, NY 10005",212-706-3030,info@metroloftnyc.com,,www.metroloftnyc.com,Managed: 6 no-fee ,Management Company,
Milford Management,https://www.nybits.com/managers/milford_management.html,,212-842-7300,info@milfordmgmt.com,,www.milfordmgmt.com,Managed: 20 no-fee ,Management Company,
Monarch,https://www.nybits.com/managers/monarch_rh.html,"111 Great Neck Rd Ste 514 Great Neck, NY 11021",,,,www.monarchrealtyholdings.com,Managed: 8 no-fee ,Management Company,
Mossanen,https://www.nybits.com/managers/mossanen.html,,212-371-5050,,,,Managed: 14 no-fee ,Management Company,
Newport Management,https://www.nybits.com/managers/newport_mgmt.html,"25 River Drive South Jersey City, NJ 07310",888-902-6674,,,www.newportnj.com,Managed: 63 no-fee ,Management Company,
"Ogden CAP Properties, LLC",https://www.nybits.com/managers/ogden_cap.html,"390 Park Avenue New York, NY ",212-289-5000212-684-5900212-289-6120 (fax),,,www.ogdencapproperties.com,Managed: 18 no-fee Brokered: 2 no-fee ,Management Company,
"Olnick Organization, Inc.",https://www.nybits.com/managers/olnick.html,"110 East 59th street, 20th floor New York, NY 10022",212-835-2400,,,www.olnick.com,Managed: 13 no-fee ,Management Company,
Page Management,https://www.nybits.com/managers/page.html,"188 Avenue of the Americas New York, NY 10013",212.219.8533212-219-3990,,,www.pageapartments.com,Managed: 2 no-fee ,Management Company,
Parkchester Preserv. Mgmt,https://www.nybits.com/managers/parkchester_pm.html,"2000 East Tremont Avenue Bronx, NY 10462",917-634-5234,,,www.parkchesternyc.com,Managed: 3 no-fee ,Management Company,
Pine Management,https://www.nybits.com/managers/pine.html,"78 Manhattan Avenue New York, NY 10025",212-316-2114,info@pinemanagement.com,$100,www.pinemanagement.com,Managed: 12 no-fee  and 8 fee,Management Company,
Related,https://www.nybits.com/managers/related.html,"60 Columbus Circle New York, NY 10023",646-961-4331 (rentals (leasing))646-735-2833 (rentals)212-801-1000 (management/corporate),,,www.related.com,Managed: 81 no-fee ,Management Company,
Rockrose Development LLC,https://www.nybits.com/managers/rockrose.html,"15 East 26th Street, 7th Floor New York, NY 10010",212-847-3700,info@rockrose.com,,www.rockrose.com,Managed: 57 no-fee ,Management Company,
Rose Associates,https://www.nybits.com/managers/rose.html,"200 Madison Avenue New York, NY 10016",212-210-6797,,,www.rentrose.com,Managed: 189 no-fee ,Management Company,
Roseland Property Company,https://www.nybits.com/managers/roseland.html,,973-218-2300,,,www.roselandproperty.com,Managed: 11 no-fee  and 5 fee,Management Company,
Royal Realty Corp.,https://www.nybits.com/managers/royal_realty_corp.html,"1 Bryant Park New York, NY 10036",,,,,Managed: 18 no-fee ,Management Company,
S & H Equities,https://www.nybits.com/managers/sh_equities.html,"98 Cutter Mill Rd., Suite 390 Great Neck, NY 11021",516-487-4090,rentals@sh-nyc.com,,www.sh-nyc.com,Managed: 1 no-fee ,Management Company,
Shalimar Management Corp.,https://www.nybits.com/managers/shalimar_management.html,"422 East 89th Street #1F New York, NY 10128",212-534-3939,info@shalimarmgmt.com,$100,shalimarmgmt.com,Managed: 4 no-fee ,Management Company,
Silverstein Properties Inc,https://www.nybits.com/managers/silverstein.html,"120 Wall Street New York, NY 10005",212-344-6710,,,www.silversteinproperties.com,Managed: 9 no-fee ,Management Company,
Sky Management,https://www.nybits.com/managers/sky.html,"226 East 54 Street, Suite 402 New York, NY 10022",212-759-1300,,$80,www.skymanagement.com,Managed: 57 no-fee ,Management Company,
Skyline Developers,https://www.nybits.com/managers/skyline_dev.html,"13-15 West 54th Street, The Rockefeller Townhouses New York, NY 10019",212-586-7522,,,www.skylinedevelopers.com,Managed: 7 no-fee ,Management Company,
Solar Realty Management,https://www.nybits.com/managers/solar_realty_mgmt.html,"57 West 38th Street, 2nd Floor New York, NY 10018",212-633-9985,,,www.solarrealtymanagement.com,Managed: 2 no-fee Brokered: 4 no-fee ,Management Company,
Solow Management Corporation,https://www.nybits.com/managers/solow.html,"523 East 72nd street New York, NY 10021",212-829-9000 (main)212-249-7400212-249-0303,,,www.solowresidential.com,Managed: 10 no-fee ,Management Company,
Stellar Management,https://www.nybits.com/managers/stellar_management.html,"156 William Street, 10th fl New York, NY 10038",212-406-0030212-843-3565,,,www.stellarmanagement.com,Managed: 6 no-fee ,Management Company,
Stone Street Properties,https://www.nybits.com/managers/sspny.html,"599 Lexington Avenue, 36th floor New York, NY 10022",646-795-3160,info@sspny.com,,www.sspny.com,Managed: 1 no-fee ,Management Company,
Stonehenge NYC,https://www.nybits.com/managers/stonehenge.html,"888 Seventh Avenue, 3rd floor New York, NY 10106",646-524-8104,info@stonehengeny.com,$75,www.stonehengeny.com,Managed: 55 no-fee ,Management Company,
S.W. Management / City & Suburban,https://www.nybits.com/managers/city_suburban.html,"511 East 78th Street New York, NY 10075",212-517-3000,,$100,www.swmanagement.com,Managed: 18 no-fee  and 1 fee,Management Company,
S.W. Queens Mezzanine,https://www.nybits.com/managers/sw_queens.html,"33-24 Parsons Blvd, Ste. Lobby 1 Flushing, NY 11354",1-718-326-5600,,$50,,Managed: 4 no-fee ,Management Company,
Jack Parker,https://www.nybits.com/managers/jack_parker.html,,,,,www.thejackparkercorporation.com,Managed: 12 no-fee ,Management Company,
The Moinian Group,https://www.nybits.com/managers/moinian.html,"3 Columbus Circle, 23rd floor New York, NY 10019",212-808-4000 (Corporate HQ),,,www.moinian.com,Managed: 22 no-fee ,Management Company,
TF Cornerstone Inc.,https://www.nybits.com/managers/tf_cornerstone.html,,212-672-1000,,,www.tfcornerstone.com,Managed: 67 no-fee ,Management Company,
Time Equities,https://www.nybits.com/managers/time_equities.html,"55 Fifth Avenue 15th floor New York, NY 10003",212-206-6000,,,www.timeequities.com,Managed: 2 no-fee Brokered: 1 no-fee ,Management Company,
Tri-State Management,https://www.nybits.com/managers/tristate_mgmt.html,,973-785-4088,,$65 ($40 in the Bronx; the fee applies to each adult applicant),,Managed: 5 no-fee ,Management Company,
Tryax Realty Management,https://www.nybits.com/managers/tryax.html,"1476 Walton Avenue Bronx, NY 10452",718-654-5555,,$75,www.bronxnofee.com,Managed: 8 no-fee ,Management Company,
Two Trees Management,https://www.nybits.com/managers/two_trees.html,"45 Main Street #602 Brooklyn, NY 11201",212-876-6666 (Manhattan)718-222-5555 (Dumbo)718-222-4747 (Brooklyn Heights),,$150,www.twotreesNY.com,Managed: 47 no-fee ,Management Company,
UDR,https://www.nybits.com/developers/udr.html,"1745 Shea Center Drive, Ste 200 Highlands Ranch, CO 80129",,,,www.udr.com,Managed: 133 no-fee ,Management Company,
UES Leasing,https://www.nybits.com/managers/uesmgmt.html,,212 831 0600,,,www.uesmgmt.com,Managed: 3 no-fee ,Management Company,
WAM Partners (William Moses Co.),https://www.nybits.com/managers/william_moses.html,"145 West 58th Street New York, NY 10019",212-757-7500 x 112,,,www.wampartners.com,Managed: 18 no-fee ,Management Company,
Westminster CL,https://www.nybits.com/managers/westminster_city_living.html,"504 East 12th Street New York, NY 10009",212-533-2224,,,www.westminsternyc.com,Managed: 15 no-fee ,Management Company,
Windsor Communities,https://www.nybits.com/managers/windsor_communities.html,,646-490-5124 (Uptown Manhattan)866-595-6935 (Jersey City),,,www.windsorcommunities.com,Managed: 10 no-fee ,Management Company,
Yuco Management Inc,https://www.nybits.com/brokers/yuco_management.html,"295 Madison Avenue, 34th floor New York, NY 10017",212-994-2247,rentals@yucoinc.com,,www.yucoinc.com,Managed: 6 no-fee Brokered: 3 no-fee ,Management Company,
382 Third Avenue,https://www.nybits.com/apartments/382_3_ave.html,"
382 Third Avenue,

New York, NY 10016","
212-759-5000 
",,,,,Building,
433 West 43rd Street,https://www.nybits.com/apartments/433_west_43.html,"
433 West 43rd Street,

New York, NY 10036","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
Park 23,https://www.nybits.com/apartments/park_23.html,"
295 Park Avenue South,

New York, NY 10010","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
123 East 54th Street,https://www.nybits.com/apartments/park_54.html,"
123 East 54th Street,

New York, NY 10022","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
229 East 67th Street,https://www.nybits.com/apartments/229_east_67.html,"
229 East 67th Street,

New York, NY 10021","
212-759-5000 
",,,,,Building,
425 East 80th Street,https://www.nybits.com/apartments/425_east_80.html,"
425 East 80th Street,

New York, NY 10021","
212-396-2032 
",,,"
www.abingtonproperties.com
",,Building,
214 East 24th Street,https://www.nybits.com/apartments/214_east_24.html,"
214 East 24th Street,

New York, NY 10010","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
12 East 22nd Street,https://www.nybits.com/apartments/12_east_22.html,"
12 East 22nd Street,

New York, NY 10010","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
207 East 27th Street,https://www.nybits.com/apartments/207_east_27.html,"
207 East 27th Street,

New York, NY 10016","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
230 East 30th Street,https://www.nybits.com/apartments/230_east_30.html,"
230 East 30th Street,

New York, NY 10016","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
239 Park Avenue South,https://www.nybits.com/apartments/239_park_ave.html,"
239 Park Avenue South,

New York, NY 10003","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
50 Prince Street,https://www.nybits.com/apartments/50_prince.html,"
50 Prince Street,

New York, NY 10012","
212-219-2707 
",,,"
www.abingtonproperties.com
",,Building,
121 Reade Street,https://www.nybits.com/apartments/121_reade.html,"
121 Reade Street,

New York, NY 10013","
212-732-5477 
",,,"
www.abingtonproperties.com
",,Building,
284 Mott Street,https://www.nybits.com/apartments/soho_abbey.html,"
284 Mott Street,

New York, NY 10012","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
10 Jones Street,https://www.nybits.com/apartments/10_jones.html,"
10 Jones Street,

New York, NY 10014","
212-759-5000 
",,,"
www.abingtonproperties.com
",,Building,
117 Elizabeth Street,https://www.nybits.com/apartments/117_elizabeth_st.html,"
117 Elizabeth Street,

New York, NY 10013","
516-487-9516 
",,,,,Building,
350 East 91st Street,https://www.nybits.com/apartments/350_east_91st_st.html,"
350 East 91st Street,

New York, NY 10128","
516-487-9516 
",,,,,Building,
85 Pitt Street,https://www.nybits.com/apartments/85_pitt_st.html,"
85 Pitt Street,

New York, NY 10002","
516-487-9516 
",,,,,Building,
324 East 73rd Street,https://www.nybits.com/apartments/324_east_73rd_st.html,"
324 East 73rd Street,

New York, NY 10021","
516-487-9516 
",,,,,Building,
120 West 3rd Street,https://www.nybits.com/apartments/120_west_3rd_st.html,"
120 West 3rd Street,

New York, NY 10012","
516-487-9516 
",,,,,Building,
119 Lexington Avenue,https://www.nybits.com/apartments/119_lexington_ave.html,"
119 Lexington Avenue,

New York, NY 10016","
516-487-9516 
",,,,,Building,
1130 First Avenue,https://www.nybits.com/apartments/1130_first_ave.html,"
1130 First Avenue,

New York, NY 10065","
516-487-9516 
",,,,,Building,
1132 First Avenue,https://www.nybits.com/apartments/1132_first_ave.html,"
1132 First Avenue,

New York, NY 10065","
516-487-9516 
",,,,,Building,
174 Delancey Street,https://www.nybits.com/apartments/174_delancey_st.html,"
174 Delancey Street,

New York, NY 10002","
516-487-9516 
",,,,,Building,
607 East 11th Street,https://www.nybits.com/apartments/607_east_11th_st.html,"
607 East 11th Street,

New York, NY 10009","
516-487-9516 
",,,,,Building,
300 East 3rd Street,https://www.nybits.com/apartments/300_east_3rd_st.html,"
300 East 3rd Street,

New York, NY 10009","
516-487-9516 
",,,,,Building,
371 First Avenue,https://www.nybits.com/apartments/371_first_ave.html,"
371 First Avenue,

New York, NY 10010","
516-487-9516 
",,,,,Building,
153 East 26th Street,https://www.nybits.com/apartments/153_east_26th_st.html,"
153 East 26th Street,

New York, NY 10010","
516-487-9516 
",,,,,Building,
1134 First Avenue,https://www.nybits.com/apartments/1134_first_ave.html,"
1134 First Avenue,

New York, NY 10021","
516-487-9516 
",,,,,Building,
104 Suffolk Street,https://www.nybits.com/apartments/104_suffolk.html,"
104 Suffolk Street,

New York, NY 10002","
516-487-9516 
",,,,,Building,
114 East 40th Street,https://www.nybits.com/apartments/114_east_40.html,"
114 East 40th Street,

New York, NY 10016","
516-487-9516 
",,,,,Building,
377 West 125th Street,https://www.nybits.com/apartments/377_west_125th_st.html,"
377 West 125th Street,

New York, NY 10027","
516-487-9516 
",,,,,Building,
379 West 125th Street,https://www.nybits.com/apartments/379_west_125th_st.html,"
381 West 125th Street,

New York, NY 10027","
516-487-9516 
",,,,,Building,
381 West 125th Street,https://www.nybits.com/apartments/381_west_125th_st.html,"
381 West 125th Street,

New York, NY 10027","
516-487-9516 
",,,,,Building,
118 East 19th Street,https://www.nybits.com/apartments/118_east_19th_street.html,"
118 East 19th Street,

New York, NY 10003","
516-487-9516 
",,,,,Building,
534 East 6th Street,https://www.nybits.com/apartments/534_east_6th_st.html,"
534 East 6th Street,

New York, NY 10009","
516-487-9516 
",,,,,Building,
322 East 61st Street,https://www.nybits.com/apartments/322_east_61st_st.html,"
322 East 61st Street,

New York, NY 10065","
212-430-3692 
",,,,,Building,
324 East 61st Street,https://www.nybits.com/apartments/324_east_61st_st.html,"
324 East 61st Street,

New York, NY 10065","
212-430-3692 
",,,,,Building,
2252 Adam Clayton Powell Jr. Boulevard,https://www.nybits.com/apartments/2252_seventh_ave.html,"
2252 Adam Clayton Powell Jr. Boulevard,

New York, NY 10027","
212-430-3692 
",,,,,Building,
2254 Adam Clayton Powell Jr. Boulevard,https://www.nybits.com/apartments/2254_seventh_ave.html,"
2254 Adam Clayton Powell Jr. Boulevard,

New York, NY 10027","
212-430-3692 
",,,,,Building,
2256 Adam Clayton Powell Jr. Boulevard,https://www.nybits.com/apartments/2256_seventh_ave.html,"
2256 Adam Clayton Powell Jr. Boulevard,

New York, NY 10027","
212-430-3692 
",,,,,Building,
2258 Adam Clayton Powell Jr. Boulevard,https://www.nybits.com/apartments/2258_seventh_ave.html,"
2258 Adam Clayton Powell Jr. Boulevard,

New York, NY 10027","
212-430-3692 
",,,,,Building,
120 West 23rd Street,https://www.nybits.com/apartments/120_west_23rd_st.html,"
120 West 23rd Street,

New York, NY 10011","
212-430-3692 
",,,,,Building,
518 East 88th Street,https://www.nybits.com/apartments/518_east_88th_st.html,"
518 East 88th Street,

New York, NY 10128","
212-430-3692 
",,,,,Building,
234 East 88th Street,https://www.nybits.com/apartments/234_east_88th_st.html,"
234 East 88th Street,

New York, NY 10128","
212-430-3692 
",,,,,Building,
2300 Seventh Avenue,https://www.nybits.com/apartments/2300_seventh_ave.html,"
2300 Seventh Avenue,

New York, NY 10030","
212-430-3692 
",,,,,Building,
182 Columbus Avenue,https://www.nybits.com/apartments/182_columbus_ave.html,"
182 Columbus Avenue,

New York, NY 10023","
212-430-3692 
",,,,,Building,
74 West 69th Street,https://www.nybits.com/apartments/74_west_69th_st.html,"
74 West 69th Street,

New York, NY 10023","
212-430-3692 
",,,,,Building,
201 West 133th Street,https://www.nybits.com/apartments/201_west_133.html,"
201 West 133th Street,

New York, NY 10030","
212-430-3692 
",,,,,Building,
211 West 135th Street,https://www.nybits.com/apartments/211_west_135.html,"
211 West 135th Street,

New York, NY 10030","
212-430-3692 
",,,,,Building,
200 West 83rd Street,https://www.nybits.com/apartments/200_west_83rd_st.html,"
200 West 83rd Street,

New York, NY 10024","
212-430-3692 
",,,,,Building,
188 Columbus Avenue,https://www.nybits.com/apartments/188_columbus_ave.html,"
188 Columbus Avenue,

New York, NY 10023","
212-430-3692 
",,,,,Building,
75 West 68th Street,https://www.nybits.com/apartments/75_west_68th_st.html,"
75 West 68th Street,

New York, NY 10023","
212-430-3692 
",,,,,Building,
210 West 83rd Street,https://www.nybits.com/apartments/210_west_83rd_st.html,"
210 West 83rd Street,

New York, NY 10024","
212-430-3692 
",,,,,Building,
200 West 133rd Street,https://www.nybits.com/apartments/200_west_133rd_st.html,"
200 West 133rd Street,

New York, NY 10030","
212-430-3692 
",,,,,Building,
167 East 90th Street,https://www.nybits.com/apartments/167_east_90th_st.html,"
167 East 90th Street,

New York, NY 10128","
212-430-3692 
",,,,,Building,
1695 Second Avenue,https://www.nybits.com/apartments/1695_second_ave.html,"
1695 Second Avenue,

New York, NY 10128","
212-430-3692 
",,,,,Building,
171 East 90th Street,https://www.nybits.com/apartments/171_east_90.html,"
171 East 90th Street,

New York, NY 10128","
212-430-3692 
",,,,,Building,
206 West 83rd Street,https://www.nybits.com/apartments/206_west_83.html,"
206 West 83rd Street,

New York, NY 10024","
212-430-3692 
",,,,,Building,
77 West 68th Street,https://www.nybits.com/apartments/77_west_68th_st.html,"
77 West 68th Street,

New York, NY 10023","
212-430-3692 
",,,,,Building,
76 West 69th Street,https://www.nybits.com/apartments/76_west_69th_st.html,"
76 West 69th Street,

New York, NY 10023","
212-430-3692 
",,,,,Building,
72 West 69th Street,https://www.nybits.com/apartments/72_west_69th_st.html,"
72 West 69th Street,

New York, NY 10023","
212-430-3692 
",,,,,Building,
514 East 88th Street,https://www.nybits.com/apartments/514_east_88th_st.html,"
514 East 88th Street,

New York, NY 10128","
212-430-3692 
",,,,,Building,
236 East 88th Street,https://www.nybits.com/apartments/236_east_88th_st.html,"
236 East 88th Street,

New York, NY 10128","
212-430-3692 
",,,,,Building,
2308 Seventh Avenue,https://www.nybits.com/apartments/2308_seventh_ave.html,"
2308 Seventh Avenue,

New York, NY 10030","
212-430-3692 
",,,,,Building,
2302 Seventh Avenue,https://www.nybits.com/apartments/2302_seventh_ave.html,"
2302 Seventh Avenue,

New York, NY 10030","
212-430-3692 
",,,,,Building,
2310 Seventh Avenue,https://www.nybits.com/apartments/2310_seventh_ave.html,"
2310 Seventh Avenue,

New York, NY 10030","
212-430-3692 
",,,,,Building,
2306 Seventh Avenue,https://www.nybits.com/apartments/2306_seventh_ave.html,"
2306 Seventh Avenue,

New York, NY 10030","
212-430-3692 
",,,,,Building,
2304 Adam Clayton Powell Jr Boulevard,https://www.nybits.com/apartments/2304_seventh_ave.html,"
2304 Seventh Avenue,

New York, NY 10030","
212-430-3692 
",,,,,Building,
238 East 88th Street,https://www.nybits.com/apartments/238_east_88th_st.html,"
238 East 88th Street,

New York, NY 10128","
212-430-3692 
",,,,,Building,
165 East 90th Street,https://www.nybits.com/apartments/165_east_90th_st.html,"
165 East 90th Street,

New York, NY 10128","
212-430-3692 
",,,,,Building,
